success,tokenNum,teamSize,USA,UK,othercountry,overallrating,offered_ownership,duration,priceETH,isERC,softcap,hardcap,whitepaper,video,socialMedia
1,20.43558376,2.397895273,0,0,1,4.1,0.5,28,5.00E-05,1,1,1,1,1,0
1,NA,2.079441542,0,0,1,3,NA,13,NA,NA,0,0,1,0,2
0,6.907755279,1.386294361,0,0,1,2.1,NA,21,1.4,1,0,1,1,0,0
1,16.11809565,3.044522438,0,0,1,4.3,0.2,12,0.0014,1,1,1,1,1,0
0,13.59236701,1.098612289,0,0,1,1.9,NA,14,0.04,1,1,1,1,1,0
0,17.72753356,2.197224577,0,0,1,2.9,NA,30,0.00174,1,0,1,1,1,0
0,#NAME?,2.079441542,1,0,0,3.4,0.7,30,0.004,1,1,1,1,1,0
0,17.52908262,#NAME?,1,0,0,2.1,0.51,51,9.00E-04,0,0,0,1,1,0
1,17.21670794,2.772588722,0,0,1,4.5,0.3,31,0.0021,1,0,1,1,1,0
1,22.33270375,3.737669618,0,0,1,3.4,0.25,34,2.00E-05,1,1,1,1,1,3
1,NA,2.302585093,0,0,1,2.9,NA,35,4.00E-05,1,1,1,1,1,0
1,20.03011866,2.63905733,0,0,1,4.1,0.5,0,NA,1,0,0,1,1,3
1,18.82614585,3.36729583,0,0,1,4.1,0.5,31,6.00E-05,1,1,1,1,1,0
0,#NAME?,2.397895273,0,0,1,1.5,NA,61,0.0028,NA,0,0,0,1,0
0,20.72326584,#NAME?,0,0,1,2.2,0.5,30,3.00E-04,1,0,1,1,1,0
0,16.11809565,1.791759469,0,0,1,1.6,0.5,25,0.0017,1,0,1,1,0,0
1,16.16688582,2.564949357,0,0,1,3.2,NA,10,0.0057,1,0,1,1,1,0
0,16.81124283,2.397895273,0,0,1,2.8,0.85,25,0.05,1,1,1,1,1,0
0,18.27449823,2.079441542,0,0,1,2.5,0.72,23,0.0014,1,1,1,1,1,0
0,19.51929303,1.791759469,1,0,0,2.5,0.7,30,0.001,1,1,1,1,0,0
1,17.21670794,2.302585093,0,0,1,4.2,0.6,30,0.002,NA,1,1,1,1,0
1,19.74243658,2.772588722,0,0,1,4.1,NA,42,NA,NA,0,1,1,1,0
0,#NAME?,1.386294361,0,0,1,1.8,0.45,30,0.0014,NA,0,0,1,0,0
1,19.67344371,2.708050201,0,0,1,4,0.35,9,0.00015,1,0,0,1,0,0
1,17.62217305,1.945910149,0,0,1,2.8,0.45,28,0.0011,1,0,1,1,0,0
1,NA,3.091042453,0,0,1,3.6,NA,34,0.001,NA,0,1,1,1,2
0,#NAME?,1.386294361,0,0,1,1.4,NA,61,NA,NA,0,0,0,0,0
0,18.46947091,2.397895273,0,0,1,2.3,0.28,30,0.00011,NA,1,0,1,0,0
1,16.25785759,3.135494216,0,0,1,3.1,NA,30,0.00105,NA,0,1,1,1,3
1,16.15249708,1.791759469,0,0,1,2.8,0.5,42,0.001,1,1,1,1,1,0
1,23.02585093,3.044522438,0,0,1,3.5,0.77,16,2.00E-05,1,0,1,1,1,0
0,19.51929303,2.079441542,0,0,1,1.6,0.5,26,0.005,NA,0,0,0,0,0
1,20.21244021,2.564949357,0,0,1,3.7,0.3,30,0.00012,1,1,1,1,1,2
0,18.13299867,2.48490665,0,0,1,2.9,0.75,60,0.002,NA,1,1,1,1,0
0,18.0640058,1.945910149,0,0,1,2.9,0.7,40,2.00E-04,1,1,1,1,0,0
0,20.21244021,2.708050201,0,0,1,2.4,0.8,30,7.00E-05,1,0,1,1,0,0
1,NA,1.945910149,0,0,1,2.4,0.15,31,0.1,NA,0,0,1,1,0
1,21.97602881,3.17805383,0,0,1,3,0.35,46,1.00E-05,1,1,1,1,1,0
0,21.88641665,2.197224577,0,0,1,2,0.4,4,8.00E-06,1,0,0,1,0,3
0,21.53419605,1.386294361,0,0,1,2.3,0.75,45,0.00014,1,1,1,1,0,0
